ID,Name,Description
S17_150,to believe,
S17_160,to understand,
S17_170,to know,
S17_171,to guess,
S17_172,to imitate,
S17_180,to seem,
S17_190,the idea,
S17_210,wise,
S17_220,stupid,
S17_230,mad,
S17_240,to learn,
S17_242,to study,
S17_250,to teach,
S17_260,the pupil,
S17_270,the teacher,
S17_280,the school,
S17_310,to remember,
S17_320,to forget,
S17_340,clear,
S17_350,obscure,
S17_360,secret,
S17_370,certain,
S17_380,to explain,
S17_410,the intention,
S17_420,the cause,
S17_430,the doubt,
S17_440,to suspect,
S17_441,to betray,
S17_450,the need or necessity,
S17_460,easy,
S17_470,difficult,
S17_480,to try,
S17_490,the manner,
S17_510,and,
S17_520,because,
S17_530,if,
S17_540,or,
S17_550,yes,
S17_560,no,
S17_610,how?,
S17_620,how many?,
S17_630,how much?,
S17_640,what?,
S17_650,when?,
S17_660,where?,
S17_670,which?,
S17_680,who?,
S17_690,why?,
S18_110,the voice,
S18_120,to sing,
S18_130,to shout,
S18_150,to whisper,
S18_160,to mumble,
S18_170,to whistle,
S18_180,to shriek,
S18_190,to howl,
S18_210,to speak or talk,
S18_211,to stutter or stammer,
S18_220,to say,
S18_221,to tell,
S18_222,the speech,
S18_230,to be silent,
S18_240,the language,
S18_260,the word,
S18_280,the name,
S18_310,to ask(1),
S18_320,to answer,
S18_330,to admit,
S18_340,to deny,
S18_350,to ask(2),
S18_360,to promise,
S18_370,to refuse,
S18_380,to forbid,
S18_390,to scold,
S18_410,to call(1),
S18_420,to call(2),
S18_430,to announce,
S18_440,to threaten,
S18_450,to boast,
S18_510,to write,
S18_520,to read,
S18_560,the paper,
S18_570,the pen,
S18_610,the book,
S18_670,the poet,
S18_710,the flute,
S18_720,the drum,
S18_730,the horn or trumpet,
S18_740,the rattle,
S19_110,the country,
S19_120,the native country,
S19_150,the town,
S19_160,the village,
S19_170,the boundary,
S19_210,the people,
S19_230,the clan,
S19_240,the chieftain,
S19_250,the walking stick,
S19_310,to rule or govern,
S19_320,the king,
S19_330,the queen,
S19_360,the noble,
S19_370,the citizen,
S19_410,the master,
S19_420,the slave,
S19_430,the servant,
S19_450,to command or order,
S19_460,to obey,
S19_470,to permit,
S19_510,the friend,
S19_520,the enemy,
S19_540,the neighbour,
S19_550,the stranger,
S19_560,the guest,
S19_570,the host,
S19_580,to help,
S19_590,to prevent,
S19_610,the custom,
S19_620,the quarrel,
S19_630,the plot,
S19_650,to meet,
S19_720,the prostitute,
S20_110,to fight,
S20_130,the war or battle,
S20_140,the peace,
S20_150,the army,
S20_170,the soldier,
S20_210,the weapons,
S20_220,the club,
S20_230,the sling,
S20_240,the bow,
S20_250,the arrow,
S20_260,the spear,
S20_270,the sword,
S20_280,the gun,
S20_310,the armour,
S20_330,the helmet,
S20_340,the shield,
S20_350,the fortress,
S20_360,the tower,
S20_410,the victory,
S20_420,the defeat,
S20_430,the attack,
S20_440,to defend,
S20_450,to retreat,
S20_460,to surrender,
S20_470,the captive or prisoner,
S20_471,the guard,
S20_490,the ambush,
S20_510,the fisherman,
S20_520,the fishhook,
S20_530,the fishing line,
S20_540,the fishnet,
S20_550,the fish trap,
S20_560,the bait,
S20_610,to hunt,
S20_620,to shoot,
S20_630,to miss,
S20_640,the trap,
S20_650,to trap,
S21_110,the law,
S21_150,the court,
S21_160,to adjudicate,
S21_170,the judgment,
S21_180,the judge,
S21_210,the plaintiff,
S21_220,the defendant,
S21_230,the witness,
S21_240,to swear,
S21_250,the oath,
S21_310,to accuse,
S21_320,to condemn,
S21_340,to acquit,
S21_350,guilty,
S21_360,innocent,
S21_370,the penalty or punishment,
S21_380,the fine,
S21_390,the prison,
S21_420,the murder,
S21_430,the adultery,
S21_440,the rape,
S21_470,the perjury,
S21_510,to steal,
S21_520,the thief,
S22_110,the religion,
S22_120,the god,
S22_130,the temple,
S22_140,the altar,
S22_150,the sacrifice,
S22_160,to worship,
S22_170,to pray,
S22_180,the priest,
S22_190,holy,
S22_220,to preach,
S22_230,to bless,
S22_240,to curse,
S22_260,to fast,
S22_310,the heaven,
S22_320,the hell,
S22_350,the demon,
S22_370,the idol,
S22_420,the magic,
S22_430,the sorcerer or witch,
S22_440,the fairy or elf,
S22_450,the ghost,
S22_470,the omen,
S04_352,the calf of the leg,
S04_374,the footprint,
S06_710,the ornament or adornment,
S06_780,the headband or headdress,
S07_310,the fireplace,
S07_530,the ridgepole,
S08_650,the fir,
S02_550,the cousin,
S04_213,the eyelid,
S04_221,the earlobe,
S04_301,the shoulderblade,
S04_842,the goitre/goiter,
S05_150,to be thirsty,
S05_630,the sausage,
S06_411,the poncho,
S07_540,the rafter,
S08_670,the vine,
S08_960,the fish poison,
S10_920,to land,
S13_00000,zero,
S03_622,the opossum,
S03_664,the stingray,
S03_665,the freshwater eel,
S05_940,the fermented drink,
S06_461,the grass-skirt,
S07_160,the men's house,
S07_180,the meeting house,
S07_221,the doorpost,
S08_920,the cassava/manioc,
S09_610,to forge,
S09_720,to mould/mold,
S10_832,the outrigger,
S19_440,the freeman,
S20_222,the battle-axe,
S20_480,the booty,
S21_330,to convict,
S21_460,the arson,
S08_740,the forked branch,
